epoch,accuracy,loss,val_accuracy,val_loss
0,0.3600885570049286,1.3321603536605835,0.4063400626182556,1.295949935913086
1,0.6507058143615723,1.0025393962860107,0.6599423885345459,0.9263072609901428
2,0.7904788255691528,0.5851535797119141,0.6974063515663147,0.8233897686004639
3,0.8530307412147522,0.4089912474155426,0.7060518860816956,0.7938914895057678
4,0.8901190161705017,0.31455209851264954,0.6829971075057983,0.8362461924552917
5,0.9081096053123474,0.2573322653770447,0.6772334575653076,0.8741098046302795
6,0.9332964420318604,0.21076840162277222,0.6945244669914246,0.9617979526519775
7,0.9440907835960388,0.17976972460746765,0.6974063515663147,0.9962663054466248
8,0.9598671197891235,0.14807553589344025,0.6916426420211792,1.0869698524475098
9,0.9606974720954895,0.13253094255924225,0.6829971075057983,1.1230534315109253
10,0.9662330746650696,0.11346343159675598,0.6829971075057983,1.2237586975097656
11,0.9670633673667908,0.10386957228183746,0.6858789920806885,1.258346676826477
12,0.9695543646812439,0.09488947689533234,0.6743515729904175,1.27619469165802
13,0.9725989699363708,0.09286516904830933,0.6743515729904175,1.328756332397461
14,0.9723221659660339,0.0879129022359848,0.6657060384750366,1.3511894941329956
15,0.973429262638092,0.08233975619077682,0.6858789920806885,1.3837188482284546
16,0.9748131632804871,0.07747000455856323,0.6657060384750366,1.4052091836929321
17,0.975643515586853,0.07162488996982574,0.6858789920806885,1.4182465076446533
18,0.9773041605949402,0.07058863341808319,0.6657060384750366,1.4815895557403564
19,0.9761970639228821,0.07062050700187683,0.6743515729904175,1.4660396575927734
20,0.9748131632804871,0.06908750534057617,0.6657060384750366,1.523542881011963
21,0.9789648652076721,0.06261803954839706,0.6772334575653076,1.5439316034317017
22,0.9795184135437012,0.06344159692525864,0.6743515729904175,1.5213781595230103
23,0.976473867893219,0.06458510458469391,0.6685879230499268,1.5536646842956543
24,0.9795184135437012,0.06016358360648155,0.6685879230499268,1.5921109914779663
